Time,Heart Rate
00:00:05,54
00:00:20,53
00:00:35,53
00:00:40,54
00:00:50,53
00:01:05,53
00:01:20,53
00:01:30,54
00:01:40,55
00:01:50,55
00:02:00,54
00:02:10,54
00:02:25,54
00:02:30,53
00:02:40,52
00:02:50,51
00:03:00,54
00:03:15,54
00:03:30,53
00:03:40,52
00:03:50,54
00:04:00,52
00:04:15,52
00:04:20,54
00:04:35,54
00:04:50,61
00:05:00,62
00:05:10,61
00:05:20,59
00:05:35,59
00:05:50,54
00:06:05,54
00:06:10,52
00:06:20,50
00:06:30,49
00:06:45,49
00:07:00,49
00:07:10,48
00:07:25,48
00:07:40,48
00:07:55,48
00:08:10,59
00:08:15,64
00:08:30,69
00:08:40,66
00:08:55,66
00:09:10,62
00:09:20,59
00:09:35,59
00:09:40,58
00:09:50,54
00:10:00,51
00:10:10,50
00:10:20,48
00:10:35,48
00:10:50,48
00:11:00,48
00:11:15,48
00:11:30,48
00:11:45,48
00:12:00,48
00:12:15,48
00:12:30,48
00:12:40,48
00:12:55,48
00:13:10,48
00:13:25,48
00:13:30,48
00:13:40,48
00:13:50,49
00:14:05,49
00:14:20,49
00:14:35,49
00:14:50,49
00:15:05,49
00:15:20,49
00:15:35,49
00:15:40,47
00:15:50,47
00:16:05,47
00:16:10,49
00:16:25,49
00:16:30,51
00:16:40,52
00:16:50,51
00:17:00,49
00:17:15,49
00:17:30,49
00:17:45,49
00:18:00,49
00:18:10,49
00:18:25,49
00:18:40,49
00:18:50,48
00:19:00,47
00:19:05,47
00:19:10,48
00:19:25,48
00:19:40,47
00:19:50,47
00:20:05,47
00:20:20,47
00:20:35,47
00:20:50,47
00:21:05,47
00:21:20,47
00:21:35,47
00:21:40,48
00:21:55,47
00:22:10,54
00:22:20,52
00:22:30,50
00:22:40,49
00:22:55,49
00:23:00,48
00:23:10,48
00:23:25,48
00:23:30,48
00:23:40,49
00:23:55,49
00:24:10,50
00:24:15,51
00:24:20,54
00:24:25,55
00:24:30,56
00:24:40,55
00:24:45,54
00:24:50,53
00:24:55,51
00:25:00,50
00:25:10,48
00:25:20,50
00:25:30,50
00:25:40,49
00:25:55,49
00:26:10,52
00:26:20,54
00:26:30,55
00:26:45,55
