Time,Heart Rate
00:00:00,46
00:01:00,45
00:02:00,45
00:03:00,46
00:04:00,46
00:05:00,47
00:06:00,47
00:07:00,46
00:08:00,46
00:09:00,45
00:10:00,46
00:11:00,47
00:12:00,47
00:13:00,48
00:14:00,48
00:15:00,48
00:16:00,48
00:17:00,49
00:18:00,48
00:19:00,48
00:20:00,48
00:21:00,49
00:22:00,48
00:23:00,48
00:24:00,47
00:25:00,47
00:26:00,48
00:27:00,48
00:28:00,48
00:29:00,48
00:30:00,47
00:31:00,45
00:32:00,45
00:33:00,48
00:34:00,47
00:35:00,46
00:36:00,47
00:37:00,48
00:38:00,47
00:39:00,48
00:40:00,47
00:41:00,47
00:42:00,46
00:43:00,46
00:44:00,47
00:45:00,50
00:46:00,52
00:47:00,48
00:48:00,48
00:49:00,48
00:50:00,48
00:51:00,47
00:52:00,47
00:53:00,48
00:54:00,48
00:55:00,48
00:56:00,46
00:57:00,48
00:58:00,49
00:59:00,49
01:00:00,50
01:01:00,49
01:02:00,49
01:03:00,51
01:04:00,51
01:05:00,50
01:06:00,50
01:07:00,50
01:08:00,51
01:09:00,50
01:10:00,49
01:11:00,50
01:12:00,50
01:13:00,49
01:14:00,50
01:15:00,48
01:16:00,47
01:17:00,48
01:18:00,49
01:19:00,50
01:20:00,49
01:21:00,50
01:22:00,49
01:23:00,50
01:24:00,50
01:25:00,51
01:26:00,51
01:27:00,52
01:28:00,51
01:29:00,49
01:30:00,49
01:31:00,52
01:32:00,51
01:33:00,49
01:34:00,49
01:35:00,50
01:36:00,50
01:37:00,51
01:38:00,50
01:39:00,49
01:40:00,49
01:41:00,49
01:42:00,49
01:43:00,50
01:44:00,47
01:45:00,47
01:46:00,47
01:47:00,47
01:48:00,49
01:49:00,50
01:50:00,52
01:51:00,49
01:52:00,47
01:53:00,49
01:54:00,49
01:55:00,50
01:56:00,50
01:57:00,52
01:58:00,54
01:59:00,50
02:00:00,49
02:01:00,46
02:02:00,45
02:03:00,45
02:04:00,46
02:05:00,46
02:06:00,46
02:07:00,47
02:08:00,47
02:09:00,53
02:10:00,56
02:11:00,64
02:12:00,53
02:13:00,46
02:14:00,47
02:15:00,50
02:16:00,47
02:17:00,48
02:18:00,48
02:19:00,50
02:20:00,47
02:21:00,46
02:22:00,45
02:23:00,48
02:24:00,47
02:25:00,48
02:26:00,46
02:27:00,48
02:28:00,47
02:29:00,47
02:30:00,50
02:31:00,60
02:32:00,47
02:33:00,45
02:34:00,44
02:35:00,44
02:36:00,45
02:37:00,45
02:38:00,51
02:39:00,46
02:40:00,47
02:41:00,52
02:42:00,49
02:43:00,49
02:44:00,48
02:45:00,50
02:46:00,48
02:47:00,46
02:48:00,46
02:49:00,45
02:50:00,46
02:51:00,46
02:52:00,55
02:53:00,53
02:54:00,48
02:55:00,47
02:56:00,46
02:57:00,46
02:58:00,46
02:59:00,47
03:00:00,48
03:01:00,48
03:02:00,48
03:03:00,48
03:04:00,47
03:05:00,48
03:06:00,48
03:07:00,49
03:08:00,50
03:09:00,49
03:10:00,74
03:11:00,53
03:12:00,51
03:13:00,50
03:14:00,50
03:15:00,50
03:16:00,49
03:17:00,50
03:18:00,49
03:19:00,51
03:20:00,50
03:21:00,52
03:22:00,52
03:23:00,51
03:24:00,51
03:25:00,52
03:26:00,51
03:27:00,52
03:28:00,49
03:29:00,50
03:30:00,50
03:31:00,51
03:32:00,50
03:33:00,50
03:34:00,50
03:35:00,49
03:36:00,49
03:37:00,49
03:38:00,49
03:39:00,49
03:40:00,49
03:41:00,49
03:42:00,49
03:43:00,50
03:44:00,50
03:45:00,50
03:46:00,50
03:47:00,50
03:48:00,49
03:49:00,48
03:50:00,50
03:51:00,48
03:52:00,46
03:53:00,48
03:54:00,48
03:55:00,48
03:56:00,49
03:57:00,48
03:58:00,47
03:59:00,64
04:00:00,62
04:01:00,63
04:02:00,51
04:03:00,50
04:04:00,52
04:05:00,49
04:06:00,51
04:07:00,49
04:08:00,50
04:09:00,55
04:10:00,60
04:11:00,53
04:12:00,54
04:13:00,53
04:14:00,51
04:15:00,51
04:16:00,58
04:17:00,52
04:18:00,52
04:19:00,52
04:20:00,50
04:21:00,50
04:22:00,51
04:23:00,56
04:24:00,62
04:25:00,57
04:26:00,60
04:27:00,55
04:28:00,52
04:29:00,53
04:30:00,50
04:31:00,51
04:32:00,49
04:33:00,49
04:38:00,52
04:39:00,50
04:40:00,52
04:41:00,53
04:42:00,51
04:43:00,49
04:44:00,49
04:45:00,49
04:46:00,50
04:47:00,50
04:48:00,47
04:49:00,48
04:50:00,60
04:51:00,47
04:52:00,48
04:53:00,47
04:54:00,47
04:55:00,47
04:56:00,49
04:57:00,51
04:58:00,52
04:59:00,51
05:00:00,49
05:01:00,52
05:02:00,57
05:03:00,59
05:04:00,51
05:05:00,47
05:06:00,47
05:07:00,47
05:08:00,48
05:09:00,48
05:10:00,50
05:11:00,47
05:12:00,46
05:13:00,46
05:14:00,45
05:15:00,46
05:16:00,48
05:17:00,48
05:18:00,46
05:19:00,47
05:20:00,48
05:21:00,47
05:22:00,47
05:23:00,48
05:24:00,49
05:25:00,49
05:26:00,48
05:27:00,48
05:28:00,49
05:29:00,49
05:30:00,49
05:31:00,50
05:32:00,50
05:33:00,50
05:34:00,50
05:35:00,49
05:36:00,48
05:37:00,49
05:38:00,50
05:39:00,49
05:40:00,50
05:41:00,50
05:42:00,50
05:43:00,51
05:44:00,51
05:45:00,51
05:46:00,51
05:47:00,51
05:48:00,51
05:49:00,50
05:50:00,52
05:51:00,52
05:52:00,48
05:53:00,48
05:54:00,49
05:55:00,49
05:56:00,49
05:57:00,48
05:58:00,50
05:59:00,51
06:00:00,52
06:01:00,48
06:02:00,48
06:03:00,48
06:04:00,50
06:05:00,51
06:06:00,51
06:07:00,51
06:08:00,51
06:09:00,52
06:10:00,53
06:11:00,53
06:14:00,52
06:15:00,53
06:16:00,56
06:17:00,59
06:18:00,54
06:19:00,48
06:20:00,49
06:21:00,49
06:22:00,50
06:23:00,52
06:24:00,51
06:25:00,49
06:26:00,50
06:27:00,51
06:28:00,51
06:29:00,52
06:30:00,51
06:31:00,51
06:32:00,50
06:33:00,52
06:34:00,71
06:35:00,53
06:36:00,50
06:37:00,49
06:38:00,49
06:39:00,50
06:40:00,50
06:41:00,52
06:42:00,53
06:43:00,51
06:44:00,52
06:45:00,52
06:46:00,51
06:47:00,50
06:48:00,52
06:49:00,52
06:50:00,52
06:51:00,53
06:52:00,52
06:53:00,52
06:54:00,52
06:55:00,51
06:56:00,51
06:57:00,51
06:58:00,50
06:59:00,52
07:00:00,52
07:01:00,52
07:02:00,53
07:03:00,53
07:04:00,53
07:05:00,53
07:06:00,53
07:07:00,52
07:08:00,59
07:09:00,66
07:10:00,52
07:11:00,57
07:12:00,63
07:13:00,56
07:14:00,52
07:15:00,50
07:16:00,51
07:17:00,51
07:18:00,50
07:19:00,53
07:20:00,52
07:21:00,50
07:22:00,52
07:23:00,52
07:24:00,51
07:25:00,49
07:26:00,55
07:27:00,59
07:28:00,56
07:29:00,55
07:30:00,49
07:31:00,54
07:32:00,63
07:33:00,57
07:34:00,54
07:35:00,53
07:36:00,57
07:37:00,58
07:38:00,54
07:39:00,57
07:40:00,56
07:41:00,61
07:42:00,65
07:43:00,94
07:44:00,130
08:41:00,84
08:42:00,81
08:43:00,82
08:44:00,84
08:45:00,72
08:46:00,67
08:47:00,72
08:48:00,69
08:49:00,66
08:50:00,64
08:51:00,67
08:52:00,73
08:53:00,74
08:54:00,74
08:55:00,75
08:56:00,78
08:57:00,79
08:58:00,79
08:59:00,75
09:00:00,82
09:01:00,81
09:02:00,74
09:03:00,71
09:04:00,68
09:05:00,74
09:06:00,73
09:07:00,74
09:08:00,77
09:09:00,81
09:10:00,86
09:11:00,80
09:12:00,70
09:13:00,73
09:14:00,69
09:15:00,67
09:16:00,68
09:17:00,67
09:18:00,67
09:19:00,68
09:20:00,72
09:21:00,75
09:22:00,76
09:23:00,73
09:24:00,67
09:25:00,70
09:26:00,64
09:27:00,63
09:28:00,60
09:29:00,61
09:30:00,64
09:31:00,60
09:32:00,68
09:33:00,71
09:34:00,68
09:35:00,65
09:36:00,64
09:37:00,62
09:38:00,64
09:39:00,62
09:40:00,60
09:41:00,60
09:42:00,65
09:43:00,71
09:44:00,67
09:45:00,64
09:46:00,67
09:47:00,67
09:48:00,67
09:49:00,64
09:50:00,60
09:51:00,59
09:52:00,60
09:53:00,63
09:54:00,64
09:55:00,64
09:56:00,60
09:57:00,61
09:58:00,62
09:59:00,64
10:00:00,71
10:01:00,70
10:02:00,68
10:03:00,65
10:04:00,66
10:05:00,68
10:06:00,67
10:07:00,68
10:08:00,68
10:09:00,70
10:10:00,73
10:11:00,85
10:12:00,103
10:13:00,102
10:14:00,101
10:15:00,97
10:16:00,97
10:17:00,97
10:18:00,92
10:19:00,96
10:20:00,100
10:21:00,68
10:22:00,67
10:23:00,74
10:24:00,80
10:25:00,80
10:26:00,91
10:27:00,102
10:28:00,96
10:29:00,98
10:30:00,80
10:31:00,91
10:32:00,101
10:33:00,106
10:34:00,83
10:35:00,67
10:36:00,76
10:37:00,86
10:38:00,101
10:39:00,98
10:40:00,99
10:41:00,104
10:42:00,108
10:43:00,65
10:44:00,64
10:45:00,69
10:46:00,67
10:47:00,68
10:48:00,70
10:49:00,68
10:50:00,64
10:51:00,68
10:52:00,72
10:53:00,67
10:54:00,70
10:55:00,72
10:56:00,70
10:57:00,70
10:58:00,74
10:59:00,73
11:00:00,72
11:01:00,70
11:02:00,70
11:03:00,67
11:04:00,69
11:05:00,69
11:06:00,71
11:07:00,68
11:08:00,73
11:09:00,91
11:10:00,106
11:11:00,107
11:12:00,105
11:13:00,105
11:14:00,109
11:15:00,114
11:16:00,114
11:17:00,113
11:18:00,108
11:19:00,112
11:20:00,108
11:21:00,111
11:22:00,108
11:23:00,109
